Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Posting prepayment invoices for sales and purchase orders in Dynamics 365 Business Central,3d2c9aef-028c-415b-a174-5fc57250abcf,Online Course,Completed,9/6/2019,9/6/2019,3660,Seconds,1
Camtasia: Interactive Learning,LINKEDINLEARNING_27201,Online Course,Completed,9/5/2019,9/5/2019,0,Seconds,1
Creating Growth Projections for Your Business,2815119,Online Course,Completed,9/5/2019,9/5/2019,2449,Seconds,1
Customer Retention,574679,Online Course,Completed,9/5/2019,9/5/2019,3039,Seconds,1
Customer Retention,LINKEDINLEARNING_16268,Online Course,Completed,9/5/2019,9/5/2019,0,Seconds,1
Excel: You Can Do This,5012298,Online Course,Completed,9/5/2019,9/5/2019,2082,Seconds,1
Hiring Contract Employees,628689,Online Course,Completed,9/5/2019,9/5/2019,3337,Seconds,1
Hiring Contract Employees,LINKEDINLEARNING_25519,Online Course,Completed,9/5/2019,9/5/2019,0,Seconds,1
Mastering Xamarin.Forms Development: 2 Basic Controls and Plugins,LINKEDINLEARNING_19378,Online Course,Completed,9/5/2019,9/5/2019,0,Seconds,1
PowerPoint: Silicon Valley Presentation Secrets (2018),LINKEDINLEARNING_37040,Online Course,Completed,9/5/2019,9/5/2019,0,Seconds,1
Processing Vendor Invoices in Dynamics 365 Business Central,b2c52370-f35d-4d9c-b663-9e734d4d9761,Online Course,Completed,,9/5/2019,2040,Seconds,1
RubberHose Animation with After Effects,774918,Online Course,Completed,9/5/2019,9/5/2019,3172,Seconds,1
